"Year","Make","Model","HorsePower","Price","ConsumerRating","ConsumerReviews","SellerType","SellerName","SellerRating","SellerReviews","StreetName","State","Zipcode","DealType","ComfortRating","InteriorDesignRating","PerformanceRating","ValueForMoneyRating","ExteriorStylingRating","ReliabilityRating","Color","InteriorColor","Drivetrain","MinMPG","MaxMPG","FuelType","Transmission","Engine","Engine Capacity(L)","Cylinder","VIN","Stock#","Mileage","bodyType","numberOfDoors"
"2015","BMW","328 i","230","15899","4.7","107","Dealer","Ferco Motors","3.4","48","1740 SW 1st St Miami","FL","33135","Great","4.7","4.7","4.8","4.5","4.8","4.6","White","Brown","Rear-wheel Drive","23","35","Gasoline","8-Speed Automatic","2.0L 4-Cylinder DOHC 16V Turbocharged","2","4","WBA3A5P54F7S84507","08253","48478","Sedan","4"
"2018","BMW","320 320i xDrive","184","2295","4.9","50","Dealer","R&J Automotive Company LLC","5","10","1 Upland Ave Bldg 5 Upland","PA","19015","Great","4.9","4.8","4.9","4.8","4.8","5","Black Sapphire Metallic","Black","All-wheel Drive","23","34","Gasoline","Automatic","Engine: 2.0L TwinPower Turbo 4-Cylinder 16V DOHC","2","4","WBA8A3C53JA357495","RJ18B31KBX3","31948","Sedan","4"
"2002","BMW","540 i","340","2290","4.6","13","Private","neal","5","10","Gladwyne","PA","19035","NA","4.7","4.5","4.9","4.3","4.5","4.2","Green","Beige","Rear-wheel Drive","15","23","Gasoline","6-Speed M/T","290.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","4.4","8","WBADN53482GF70742","–","81467","Sedan","4"
"2018","BMW","320 i xDrive","184","24985","4.9","50","Dealer","Car n Drive","2","33","1037 us highway 206 Bordentown","NJ","8505","Fair","4.9","4.8","4.9","4.8","4.8","5","Black","Venetian Beige","All-wheel Drive","23","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA8E5G56JNV02273","V02273","65946","Hatchback","4"
"2017","BMW","M3 Base","473","55863","4.7","11","Dealer","Northshore Motors","3.4","237","180 Michael Dr Syosset","NY","11791","Great","4.3","4.6","4.9","4.5","4.9","4.9","Gray","Sakhir Orange","Rear-wheel Drive","17","26","Gasoline","7-Speed Automatic with Auto-Shift","3.0L I6 24V GDI DOHC Twin Turbo","3","6","WBS8M9C30H5G85628","G85628","19847","Sedan","2"
"2019","BMW","X3 sDrive30i","249","3540","4.7","99","Dealer","INFINITI of San Jose","4.4","133","2198 Tully Rd San Jose","CA","95122","Good","4.7","4.7","4.8","4.3","4.8","4.6","Phytonic Blue Metallic","Canberra Beige","Rear-wheel Drive","23","30","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR7C57KLR39536","KLR39536I","34565","Crossover","4"
"2019","BMW","X3 sDrive30i","249","31995","4.7","99","Dealer","Stevens Creek Showcase","3.7","12","5080 Stevens Creek Blvd San Jose","CA","95129","Fair","4.7","4.7","4.8","4.3","4.8","4.6","Jet Black","Black","Rear-wheel Drive","23","30","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR7C53KLE94067","Z2391R","57583","Crossover","4"
"2019","BMW","X5 xDrive40i","340","54998","4.7","55","Dealer","Lexus of Marin","4.7","760","513 Francisco Blvd E San Rafael","CA","94901","Fair","5","4.9","4.9","4.4","4.7","4.6","White","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C58KLL00897","TKLL00897","14950","SUV","4"
"2020","BMW","X5 sDrive40i","340","55901","4.7","53","Dealer","BMW MINI of Arlington","4.7","1455","1105 E Lamar Blvd Arlington","TX","76011","Fair","4.8","4.8","4.8","4.4","4.7","4.7","Jet Black","Canberra Beige","Rear-wheel Drive","21","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR4C09L9B36327","L9B36327","31831","Crossover","4"
"2019","BMW","M850 i xDrive","530","7748","5","5","Dealer","Autos of Dallas","4.3","1341","4472 W Plano Pkwy Plano","TX","75093","Good","5","5","5","4.8","5","5","Carbon Black Metallic","Fiona Red","All-wheel Drive","18","25","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","WBABC4C5XKBU96198","U96198","34021","Coupe","2"
