"Price","Year","Model","HorsePower","ConsumerRating","SellerRating","Color","Drivetrain","FuelRate","FuelType","Transmission","Engine Capacity(L)","Cylinder","Mileage","bodyType","numberOfDoors"
"6289920","2019","X7 xDrive50i","530","4.1","4","Black Sapphire Metallic","All-wheel Drive","21","Gasoline","8-Speed Automatic","4.4","8","46661","SUV","4"
"287550","2017","X5 xDrive35i","306","4.7","3","Black","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","45922","SUV","4"
"575460","2020","X5 xDrive40i","340","4.7","4.6","Carbon Black Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","30523","SUV","4"
"6463710","2020","X7 xDrive40i","381","4.9","3","Arctic Gray Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","14004","SUV","4"
"2024550","2015","328 i xDrive","245","4.7","4.7","Black","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","50757","Sedan","4"
"4859010","2019","X5 xDrive40i","340","4.7","3","Carbon Black Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","29180","SUV","4"
"3689820","2020","X3 xDrive30i","249","4.9","3.4","Gray","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","33379","SUV","4"
"2897910","2017","X3 xDrive28i","245","4.8","4","Jet Black","All-wheel Drive","28","Gasoline","Automatic","2","4","36219","SUV","4"
"3056580","2018","X3 xDrive30i","249","4.8","4.5","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","49340","SUV","4"
"709110","2020","750 i xDrive","450","5","4.7","Alpine White","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","34376","Sedan","4"
"4749030","2019","X5 xDrive40i","340","4.7","4.7","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","41603","SUV","4"
"4993920","2019","X5 xDrive40i","340","4.7","4.5","Carbon Black Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","42055","SUV","4"
"5079420","2019","X5 xDrive40i","340","4.7","4.9","Gray Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","36600","SUV","4"
"123750","2013","X3 xDrive28i","245","4.2","3.4","Jet Black","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","69831","SUV","4"
"3874680","2020","X3 xDrive30i","249","4.9","4.9","Phytonic Blue Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","18570","SUV","4"
"2663550","2019","330 i xDrive","258","4.9","3.7","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","8-SPEED A/T","2","4","55246","Sedan","4"
"359550","2019","540 i xDrive","340","4.9","3.7","White","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","35135","Sedan","4"
"2338650","2016","X3 xDrive28i","245","4.6","4.7","Sparkling Brown Metallic","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","52911","SUV","4"
"2879820","2019","X1 sDrive28i","231","4.7","4.4","Mineral White Metallic","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","14335","Crossover","4"
"3599550","2018","X3 xDrive30i","249","4.8","4.8","Carbon Black Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","15479","SUV","4"
"4363290","2019","X5 xDrive40i","340","4.7","4.7","Mineral White Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","55931","SUV","4"
"4511160","2020","M340 i","387","4.9","4.9","Black Sapphire Metallic","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","31213","Sedan","4"
"2884860","2019","X1 sDrive28i","231","4.7","4.7","Jet Black","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","30502","Crossover","4"
"4499910","2020","X3 M40i","360","4.9","4.9","Black Sapphire Metallic","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","32204","SUV","4"
"4769820","2020","X3 M40i","360","4.9","4.9","Dark Graphite","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","28266","SUV","4"
"2517750","2015","435 i","306","4.8","3.1","Blue","Rear-wheel Drive","31","Gasoline","8-Speed Automatic","3","6","39981","Coupe","2"
"3088890","2018","X3 xDrive30i","249","4.8","4.7","Phytonic Blue Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","49033","SUV","4"
"5129910","2020","X5 sDrive40i","340","4.7","4.8","Black Sapphire Metallic","Rear-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","31383","Crossover","4"
"2762730","2019","X3 xDrive30i","249","4.7","4.7","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","63190","SUV","4"
"346320","2017","X5 xDrive35i","306","4.7","4.8","Black Sapphire Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","44624","SUV","4"
"3509820","2018","X5 sDrive35i","306","4.8","2.9","Black","Rear-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","54742","Crossover","4"
"284310","2018","X1 xDrive28i","231","4.8","4.4","Dark Olive Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","19137","SUV","4"
"4634550","2019","X5 xDrive40i","340","4.7","4.7","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","41452","SUV","4"
"157050","2019","X3 sDrive30i","249","4.7","3.5","Black","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","2","4","59518","Crossover","4"
"598050","2020","X5 M50i","530","4.7","3.7","Black","All-wheel Drive","22","Gasoline","8-Speed Automatic","4.4","8","25578","SUV","4"
"989730","2011","328 i xDrive","245","4.5","4.7","Black Sapphire Metallic","All-wheel Drive","26","Gasoline","6-Speed Automatic","3","6","116399","Sedan","4"
"4139190","2018","X3 M40i","360","4.8","4.4","Dark Graphite Metallic","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","19772","SUV","4"
"4319820","2020","X5 sDrive40i","340","4.7","4.9","Black Sapphire Metallic","Rear-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","52481","Crossover","4"
"3110400","2014","Z4 sDrive35i","306","4.9","4.7","Alpine White","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","33580","Roadster","2"
"5129550","2021","X4 xDrive30i","245","5","4.5","Black Sapphire Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","22282","Wagon","4"
"3682440","2018","X5 xDrive35i","306","4.8","4.7","Jet Black","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","39515","SUV","4"
"4679550","2020","X3 M40i","360","4.9","4.9","Glacier Silver Metallic","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","21810","SUV","4"
"4193370","2021","X3 xDrive30i","249","4.7","4.7","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","15883","SUV","4"
"4212180","2021","X3 xDrive30i","249","4.7","4.5","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","15468","SUV","4"
