"Price","Year","Model","HorsePower","ConsumerRating","SellerRating","Color","Drivetrain","FuelRate","FuelType","Transmission","Engine Capacity(L)","Cylinder","Mileage","bodyType","numberOfDoors"
"6569370","2020","X7 xDrive40i","381","4.9","4.6","Mineral White Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","17259","SUV","4"
"2520180","2016","X5 xDrive35i","306","4.8","4.6","Alpine White","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","80369","SUV","4"
"3419550","2020","X3 xDrive30i","249","4.9","4.2","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","37204","SUV","4"
"6204870","2019","X7 xDrive40i","381","4.1","4.7","Carbon Black Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","41859","SUV","4"
"2833830","2018","X3 xDrive30i","249","4.8","4.6","Glacier Silver Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","71728","SUV","4"
"3645090","2018","X5 xDrive35i","306","4.8","4.6","Space Gray Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","49424","SUV","4"
"2202480","2015","435 Gran Coupe i","241","4.9","4.9","Carbon Black Metallic","Rear-wheel Drive","32","Gasoline","8-Speed Automatic","3","6","100256","Sedan","4"
"3869820","2018","X3 M40i","360","4.8","3.4","White","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","38516","SUV","4"
"4049550","2020","X3 xDrive30i","249","4.9","4.9","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","22938","SUV","4"
"3464190","2018","X3 xDrive30i","249","4.8","4.7","Mineral White Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","10925","SUV","4"
"4535730","2020","M340 i","387","4.9","2.1","Alpine White","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","33800","Sedan","4"
"2699820","2016","X3 xDrive28i","245","4.6","3.5","Red","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","39534","SUV","4"
"3913830","2018","X5 xDrive35i","306","4.8","4.8","Dark Graphite Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","39387","SUV","4"
"3329910","2020","X7 xDrive40i","381","4.9","4.6","Mineral White Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","17259","SUV","4"
"2968920","2019","330 i xDrive","258","4.9","4.3","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","31096","Sedan","4"
"5129640","2019","X1 sDrive28i","231","4.7","4.9","Blue Metallic","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","33480","Crossover","4"
"3933090","2019","750 i xDrive","450","5","4.6","Azurite Black Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","38864","Sedan","4"
"479790","2020","X3 xDrive30i","249","4.9","4.9","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","31655","SUV","4"
"6521850","2020","X5 xDrive40i","340","4.7","4.5","Black Sapphire Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","45149","SUV","4"
"5335920","2020","750 i xDrive","450","5","4.4","Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","36039","Sedan","4"
"4637250","2019","X5 xDrive40i","340","4.7","4.5","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","21845","SUV","4"
"6902730","2020","X5 xDrive40i","340","4.7","4.7","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","21810","SUV","4"
"5725260","2019","X5 xDrive40i","340","4.7","4.7","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","35025","SUV","4"
"1844910","2020","X7 xDrive40i","381","4.9","4.9","Dark Graphite","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","19859","SUV","4"
"2849220","2020","740 i xDrive","380","5","4.6","Glacier Silver Metallic","All-wheel Drive","28","Gasoline","8-Speed Automatic","3","6","38187","Sedan","4"
"2410920","2016","528 i xDrive","245","4.8","4.1","White","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","46529","Sedan","4"
"2519910","2018","M550 M550i xDrive","462","4.6","4","Azurite Black Metallic","All-wheel Drive","25","Gasoline","Automatic","4.4","8","68195","Sedan","4"
"1349910","2018","X1 xDrive28i","231","4.8","4.8","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","30729","SUV","4"
"7191900","2018","X1 sDrive28i","231","4.8","4.5","Alpine White","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","39294","Crossover","4"
"3669750","2014","X3 xDrive35i","306","4.7","4.7","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","24936","SUV","4"
"161910","2008","X5 4.8i","360","4.4","4.4","Black Sapphire Metallic","All-wheel Drive","19","Gasoline","6-Speed Automatic","4.4","8","59856","SUV","4"
"3509820","2020","X5 M50i","530","4.7","4.1","White Metallic","All-wheel Drive","22","Gasoline","8-Speed Automatic","4.4","8","23649","SUV","4"
"4453920","2021","330 i","258","4.9","4.7","Jet Black","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","20801","Sedan","4"
"3185010","2004","Z4 2.5i Roadster","192","4.7","4.8","–","Rear-wheel Drive","28","Gasoline","Automatic","2.5","4","8900","Roadster","2"
"686430","2019","430 i","258","4.9","4.3","Sunset Orange Metallic","Rear-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","16241","Coupe","2"
"488250","2019","540 i","340","4.9","3.9","Black Sapphire Metallic","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","27222","Sedan","4"
"4092930","2019","X3 sDrive30i","249","4.7","1.3","Jet Black","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","2","4","33016","Crossover","4"
"2234070","2021","X7 xDrive40i","381","5","4.5","Phytonic Blue Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","16320","SUV","4"
"3410820","2019","X5 xDrive40i","340","4.7","4.8","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","18003","SUV","4"
"4904910","2019","X3 xDrive30i","249","4.7","4.6","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","15184","SUV","4"
"692550","2014","X3 xDrive28i","245","4.7","4.6","Mineral Silver Metallic","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","12262","SUV","4"
"2869650","2022","X2 xDrive28i","231","4.8","4.8","Alpine White","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","10941","SUV","4"
"6555060","2019","X5 xDrive40i","340","4.7","5","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","29412","SUV","4"
"332910","2021","X7 xDrive40i","381","5","4.9","Alpine White","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","14643","SUV","4"
"269910","2019","X1 sDrive28i","231","4.7","4.7","Sparkling Brown Metallic","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","53693","Crossover","4"
"3500460","2020","X7 xDrive40i","381","4.9","4.4","Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","16060","SUV","4"
"2289690","2019","330 i xDrive","258","4.9","4.9","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","49676","Sedan","4"
"4858920","2018","X1 xDrive28i","231","4.8","4.9","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","45284","SUV","4"
"238410","2018","X5 xDrive35i","306","4.8","4.8","Glacier Silver Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","57872","SUV","4"
"4130820","2018","430 Gran Coupe i","249","4.9","4.7","Jet Black","Rear-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","86605","Sedan","4"
"530550","2020","X5 xDrive40i","340","4.7","4.7","Black Sapphire Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","53021","SUV","4"
"4881420","2016","X5 xDrive35i","306","4.8","4.8","Carbon Black Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","86843","SUV","4"
"3266730","2020","X3 xDrive30i","249","4.9","4.6","Blue Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","11967","SUV","4"
"3689550","2020","X5 xDrive40i","340","4.7","4.4","Black Sapphire Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","19885","SUV","4"
"4364550","2020","X5 sDrive40i","340","4.7","4.9","Dark Graphite Metallic","Rear-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","31603","Crossover","4"
"3323340","2019","X5 xDrive40i","340","4.7","4.7","Mineral White Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","55931","SUV","4"
"1529910","2018","X3 xDrive30i","249","4.8","4.7","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","36090","SUV","4"
"7019910","2021","X1 xDrive28i","231","5","4.7","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","10670","SUV","4"
"2519820","2018","X3 M40i","360","4.8","4.4","Dark Graphite Metallic","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","19772","SUV","4"
"3329010","2019","X5 xDrive40i","340","4.7","4.7","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","44840","SUV","4"
"2118060","2019","330 i","258","4.9","4.4","Black Sapphire Metallic","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","20735","Sedan","4"
"197010","2019","330 i xDrive","258","4.9","4.9","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","49676","Sedan","4"
"3321900","2013","X3 xDrive28i","245","4.2","4.5","Titanium Silver Metallic","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","85716","SUV","4"
"1079910","2020","X7 xDrive40i","381","4.9","5","Alpine White","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","22859","SUV","4"
"3779910","2015","435 Gran Coupe i","241","4.9","4.9","Carbon Black Metallic","Rear-wheel Drive","32","Gasoline","8-Speed Automatic","3","6","100256","Sedan","4"
"4553370","2019","X5 xDrive40i","340","4.7","4.8","Arctic Gray Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","36515","SUV","4"
"539730","2016","X3 xDrive35i","306","4.6","2.8","Silver","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","56637","SUV","4"
"Not Priced","2018","530 i","231","4.8","4.6","White","Rear-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","30661","Sedan","4"
"4044870","2018","X1 xDrive28i","231","4.8","4.4","Dark Olive Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","38749","SUV","4"
"6630930","2018","X1 xDrive28i","231","4.8","2.9","Alpine White","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","30541","SUV","4"
"2789550","2016","X1 xDrive 28i","231","4.6","4.7","White Metallic","All-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","81894","SUV","4"
"2429820","2018","540 i","340","4.8","3.9","Carbon Black Metallic","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","59339","Sedan","4"
"3778650","2015","328 i xDrive","245","4.7","4.7","Black","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","45325","Sedan","4"
"6703290","2011","X5 xDrive35i","306","4.3","4.6","Black Sapphire Metallic","All-wheel Drive","23","Gasoline","8-Speed Automatic","3","6","88560","SUV","4"
"329130","2021","330 i","258","4.9","4.4","White","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","13084","Sedan","4"
"3230820","2019","X5 xDrive40i","340","4.7","4.6","Arctic Gray Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","39974","SUV","4"
"6299550","2020","X5 xDrive40i","340","4.7","4.9","Phytonic Blue Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","21263","SUV","4"
"3324060","2019","540 i xDrive","340","4.9","4.6","Mineral White Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","34526","Sedan","4"
"4053690","2018","X5 xDrive35i","306","4.8","4.7","Jet Black","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","21463","SUV","4"
"6479190","2020","X7 xDrive40i","381","4.9","4.4","Carbon Black Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","16691","SUV","4"
"3015090","2020","X3 xDrive30i","249","4.9","3.7","Dark Graphite Metallic","All-wheel Drive","29","Gasoline","8-SPEED A/T","2","4","67570","SUV","4"
"6707070","2020","X5 xDrive40i","340","4.7","4.8","Alpine White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","10422","SUV","4"
"6209820","2018","320 i","184","4.9","4.5","Silver","Rear-wheel Drive","35","Gasoline","8-Speed Automatic","2","4","47094","Sedan","4"
"5527080","2016","X6 xDrive35i","306","4.8","4.4","Space Gray Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","38144","SUV","4"
"454590","2017","X3 xDrive28i","245","4.8","4.5","Black Sapphire Metallic","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","50296","SUV","4"
"3779550","2020","X7 xDrive40i","381","4.9","4.7","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","17431","SUV","4"
"616410","2020","X3 xDrive30i","249","4.9","5","Phytonic Blue Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","49870","SUV","4"
"626850","2019","330 i xDrive","258","4.9","5","Jet Black","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","32558","Sedan","4"
"611550","2019","X3 xDrive30i","249","4.7","4.7","Jet Black","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","47544","SUV","4"
"4139190","2020","750 i xDrive","450","5","4.8","Jet Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","48074","Sedan","4"
"5129910","2018","540 i","340","4.8","3.9","Carbon Black Metallic","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","59339","Sedan","4"
"1437930","2021","X3 sDrive30i","249","4.7","4.5","Dark Graphite","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","22575","Crossover","4"
"5029920","2020","X7 xDrive40i","381","4.9","4.7","Alpine White","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","38547","SUV","4"
"6299550","2016","X6 xDrive35i","306","4.8","4.8","Carbon Black Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","86271","SUV","4"
"323550","2020","M4 Base","431","4.9","4.6","Black","Rear-wheel Drive","25","Gasoline","7-Speed Automatic with Auto-Shift","3","6","16870","Coupe","2"
"4859820","2020","X7 xDrive40i","381","4.9","2.1","Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","53480","SUV","4"
"2389410","2021","X5 xDrive40i","340","4.8","4.8","Phytonic Blue Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","19580","SUV","4"
"4608810","2019","X5 xDrive40i","340","4.7","4.5","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","47996","SUV","4"
"5759550","2022","X2 xDrive28i","231","4.8","4.7","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","10773","SUV","4"
"3743550","2019","X7 xDrive40i","381","4.1","4.5","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","30439","SUV","4"
"2879820","2019","X7 xDrive50i","530","4.1","4.9","Black Sapphire Metallic","All-wheel Drive","21","Gasoline","8-Speed Automatic","4.4","8","42655","SUV","4"
"2969550","2020","X3 M Base (A8)","510","4.6","4.9","Black Sapphire Metallic","All-wheel Drive","19","Gasoline","8-Speed Automatic","3","6","10672","SUV","4"
"4229730","2015","M4 Base","431","4.8","4.6","Mineral White Metallic","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","45964","Coupe","2"
"4949550","2020","X5 xDrive40i","340","4.7","4.7","Jet Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","15541","SUV","4"
"3554010","2013","X3 xDrive28i","245","4.2","4.1","Black","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","81499","SUV","4"
"337320","2019","X5 xDrive40i","340","4.7","5","–","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","38106","SUV","4"
"3396870","2020","X7 xDrive40i","381","4.9","4.9","Jet Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","25361","SUV","4"
"301410","2019","530 i xDrive","249","4.8","3.7","Black","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","33814","Sedan","4"
"557550","2019","X5 xDrive40i","340","4.7","2.7","Black","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","41114","SUV","4"
"3239910","2017","X3 xDrive28i","245","4.8","4.6","Jet Black","All-wheel Drive","28","Gasoline","8-Speed Automatic","2","4","67935","SUV","4"
"5418720","2019","X5 xDrive40i","340","4.7","5","–","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","38106","SUV","4"
"3419550","2018","X2 sDrive28i","231","4.7","4.3","Mineral Gray Metallic","Front-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","47986","Crossover","4"
"3553830","2020","M340 i xDrive","387","4.9","4.9","Black Sapphire Metallic","All-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","33550","Sedan","4"
"3679920","2020","X5 xDrive40i","340","4.7","4.5","Carbon Black Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","19357","SUV","4"
"3504780","2021","330 i","258","4.9","4.7","Jet Black","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","14815","Sedan","4"
"2821050","2020","X7 xDrive40i","381","4.9","4.9","Jet Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","25361","SUV","4"
"4029570","2018","330 i xDrive","258","4.8","5","Gray","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","31660","Sedan","4"
"4859550","2019","330 i xDrive","258","4.9","4.6","Black","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","49347","Sedan","4"
"2833920","2019","540 i xDrive","340","4.9","4.7","Carbon Black Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","25174","Sedan","4"
"4668930","2020","X5 xDrive40i","340","4.7","4.6","Carbon Black Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","30523","SUV","4"
"6749820","2019","X5 xDrive40i","340","4.7","4.8","Black Sapphire Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","40157","SUV","4"
"2969730","2021","330 i","258","4.9","4.8","Black Sapphire Metallic","Rear-wheel Drive","36","Gasoline","8-Speed Automatic","2","4","24740","Sedan","4"
"562410","2020","X3 sDrive30i","249","4.9","4.3","Jet Black","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","36293","Crossover","4"
"6389730","2019","X3 xDrive30i","249","4.7","4.1","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","31362","SUV","4"
"4229550","2018","X2 xDrive28i","231","4.7","4.8","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","36673","SUV","4"
"1169910","2018","M3 Base","473","4.5","3.7","White","Rear-wheel Drive","25","Gasoline","7-Speed Automatic with Auto-Shift","3","6","43219","Sedan","2"
"4186080","2020","X3 xDrive30i","249","4.9","4.8","Silver","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","24286","SUV","4"
"1349550","2021","X5 xDrive40i","340","4.8","4.4","Alpine White","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","21906","SUV","4"
"2879820","2019","330 i xDrive","258","4.9","4.7","Gray","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","39718","Sedan","4"
"7073550","2018","540 i","340","4.8","3.9","Bluestone Metallic","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","51072","Sedan","4"
"2879820","2018","X5 xDrive35i","306","4.8","4.6","Glacier Silver Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","57330","SUV","4"
"3059820","2019","X3 xDrive30i","249","4.7","4.3","Black Sapphire Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","37486","SUV","4"
"6029820","2017","X5 xDrive35i","306","4.7","4.5","Mineral White Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","71989","SUV","4"
"3554010","2015","M4 Base","431","4.8","3.4","Orange","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","38452","Coupe","2"
"3367440","2022","X2 M35i","306","4.8","4.7","Black Sapphire Metallic","All-wheel Drive","30","Gasoline","8-Speed Automatic","2","4","12610","SUV","4"
"382320","2019","X5 xDrive40i","340","4.7","4.4","Mineral White Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","25265","SUV","4"
"8729550","2018","X1 xDrive28i","231","4.8","4.5","Glacier Silver Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","25021","SUV","4"
"5110830","2019","X5 xDrive40i","340","4.7","4.5","White Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","47105","SUV","4"
"2698920","2019","M850 i xDrive","530","5","4.1","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","32107","Coupe","2"
"5121900","2018","328d xDrive","180","4.8","2.1","Mineral Gray Metallic","All-wheel Drive","40","Diesel","8-Speed Automatic","2","4","30498","Sedan","4"
"4499550","2020","X7 xDrive40i","381","4.9","4.7","Dark Graphite","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","58913","SUV","4"
"1907280","2018","M6 Base","560","5","4.6","San Marino Blue Metallic","Rear-wheel Drive","20","Gasoline","7-Speed Automatic with Auto-Shift","4.4","8","45268","Coupe","2"
"5129820","2019","540 i xDrive","340","4.9","4.5","Glacier Silver Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","19848","Sedan","4"
"382320","2011","X3 xDrive28i","245","4.7","4.4","Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","73361","SUV","4"
"3510270","2019","Z4 sDrive30i","197","5","4.5","Metallic","Rear-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","23504","Roadster","2"
"3489930","2013","X5 xDrive35i","306","4.6","4.2","Silver Metallic","All-wheel Drive","23","Gasoline","8-Speed Automatic","3","6","50569","SUV","4"
"322920","2018","430 Gran Coupe i xDrive","249","4.9","4.6","Alpine White","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","27233","Sedan","4"
"3779550","2020","X5 M50i","530","4.7","4.8","Phytonic Blue Metallic","All-wheel Drive","22","Gasoline","8-Speed Automatic","4.4","8","16615","SUV","4"
"2429550","2018","X1 xDrive28i","231","4.8","4","Black","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","43085","SUV","4"
"310410","2020","430 i","258","4.9","4.6","Black","Rear-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","16495","Coupe","2"
"6021900","2020","X7 xDrive40i","381","4.9","2.7","Black","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","46077","SUV","4"
"686970","2020","X3 xDrive30i","249","4.9","3","Dark Graphite Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","48104","SUV","4"
"4931550","2019","X3 xDrive30i","249","4.7","4.1","Alpine White","All-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","37042","SUV","4"
"3487230","2019","540 i","340","4.9","4.3","Blue Metallic","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","48501","Sedan","4"
"2699910","2020","M5 Competition","625","5","4.2","Gray Metallic","All-wheel Drive","21","Gasoline","8-Speed Automatic","4.4","8","17748","Sedan","4"
"4679910","2018","M3 CS","542","4.5","4.6","Azurite Black Metallic","Rear-wheel Drive","25","Gasoline","6-Speed Manual","3","6","53388","Sedan","4"
"332820","2018","X3 M40i","360","4.8","3.4","White","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","38516","SUV","4"
"3863880","2018","X1 xDrive28i","231","4.8","4.3","Alpine White","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","40300","SUV","4"
"4186170","2017","M3 Base","473","4.7","4.4","Red","Rear-wheel Drive","26","Gasoline","6-Speed Manual","3","6","44178","Sedan","2"
"3419820","2019","X5 xDrive40i","340","4.7","4.1","Phytonic Blue Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","48150","SUV","4"
"2329740","2016","X1 xDrive 28i","231","4.6","4.7","Alpine White","All-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","84089","SUV","4"
"602550","2020","X5 xDrive40i","340","4.7","5","Gray","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","26862","SUV","4"
"3283650","2021","X3 sDrive30i","249","4.7","4.3","Jet Black","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","34572","Crossover","4"
"3315870","2018","X1 xDrive28i","231","4.8","4.8","Black Sapphire Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","30729","SUV","4"
"4499370","2018","X5 xDrive35i","306","4.8","4.5","Glacier Silver Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","57776","SUV","4"
"3464550","2022","X1 sDrive28i","231","5","4.6","Black Sapphire Metallic","Front-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","5645","Crossover","4"
"3142710","2019","330 i xDrive","258","4.9","4.3","Jet Black","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","34132","Sedan","4"
"4976820","2018","X1 xDrive28i","231","4.8","4.8","Black","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","61612","SUV","4"
"3500820","2015","M4 Base","431","4.8","2.3","Black Sapphire Metallic","Rear-wheel Drive","26","Gasoline","6 speed manual","3","6","82945","Coupe","2"
"2249550","2018","430 Gran Coupe i xDrive","249","4.9","3.5","Red","All-wheel Drive","33","Gasoline","Automatic","2","4","31387","Sedan","4"
"3419550","2019","X1 xDrive28i","231","4.7","4.8","Mineral White Metallic","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","17917","SUV","4"
"3630510","2019","X7 xDrive40i","381","4.1","4","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","3","6","46803","SUV","4"
"3419730","2020","X7 xDrive40i","381","4.9","4.6","Jet Black","All-wheel Drive","25","Gasoline","8-SPEED A/T","3","6","14429","SUV","4"
"2385900","2019","750 i xDrive","450","5","4.4","Black Sapphire Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","56938","Sedan","4"
"4903920","2018","X5 xDrive35i","306","4.8","4.9","Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","53022","SUV","4"
"3473910","2016","X5 xDrive35i","306","4.8","4.9","Black Sapphire Metallic","All-wheel Drive","24","Gasoline","8-Speed Automatic","3","6","79777","SUV","4"
"4479930","2019","X5 xDrive40i","340","4.7","4.5","White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","13942","SUV","4"
"3081060","2020","X3 sDrive30i","249","4.9","4.3","Dark Graphite","Rear-wheel Drive","29","Gasoline","8-Speed Automatic","2","4","46585","Crossover","4"
"3599820","2019","330 i xDrive","258","4.9","4.5","Portimao Blue Metallic","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","12033","Sedan","4"
"4985820","2019","X5 xDrive40i","340","4.7","4.9","Gray Metallic","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","36600","SUV","4"
